GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08059010210,80,3662,1506,81,544,830,1455,333,579,"list(list(c(-105.109819, -105.108782, -105.094105, -105.091091, -105.090919, -105.090867, -105.090848, -105.090823, -105.095403, -105.099085, -105.10034, -105.100863, -105.102882, -105.104366, -105.10963, -105.109819, 39.831165, 39.831076, 39.830822, 39.830484, 39.827208, 39.820443, 39.812922, 39.809781, 39.810992, 39.812082, 39.812886, 39.813365, 39.817037, 39.819307, 39.823048, 39.831165)))"
08059009832,21,2653,975,66,363,541,970,227,313,"list(list(c(-105.064746, -105.054622, -105.053339, -105.052847, -105.0529, -105.053188, -105.05321, -105.053236, -105.060663, -105.062549, -105.062703, -105.06327, -105.062499, -105.062832, -105.062526, -105.064746, 39.856547, 39.856905, 39.855978, 39.853229, 39.852042, 39.849649, 39.845763, 39.841807, 39.841686, 39.841249, 39.841235, 39.843798, 39.847374, 39.848216, 39.855736, 39.856547)))"
08059010212,55,4130,1809,221,695,728,1644,508,540,"list(list(c(-105.081486, -105.072993, -105.067307, -105.067309, -105.067289, -105.067285, -105.067303, -105.072895, -105.076587, -105.076589, -105.076641, -105.076681, -105.07672, -105.077958, -105.079049, -105.080518, -105.081432, -105.081486, 39.82012, 39.820068, 39.820069, 39.812816, 39.809222, 39.805577, 39.800337, 39.800128, 39.799662, 39.801989, 39.80299, 39.803247, 39.803376, 39.806544, 39.809242, 39.81286, 39.814659, 39.82012)))"
08059009833,0,5506,2432,342,861,1105,2308,750,740,"list(list(c(-105.081789, -105.081783, -105.081749, -105.081698, -105.081686, -105.076658, -105.074117, -105.064746, -105.062526, -105.062832, -105.062499, -105.06327, -105.062703, -105.063491, -105.066446, -105.069664, -105.073354, -105.081821, -105.081789, 39.847153, 39.847263, 39.851688, 39.853393, 39.856441, 39.856506, 39.856547, 39.856547, 39.855736, 39.848216, 39.847374, 39.843798, 39.841235, 39.841162, 39.84115, 39.841235, 39.841825, 39.841799, 39.847153)))"
08059010306,55,2823,1120,110,464,537,1111,278,464,"list(list(c(-105.137884, -105.137882, -105.137845, -105.128408, -105.123553, -105.123599, -105.123685, -105.123702, -105.123521, -105.128917, -105.130839, -105.136775, -105.137895, -105.137884, 39.804835, 39.805711, 39.812715, 39.812756, 39.812722, 39.809471, 39.808758, 39.805837, 39.801801, 39.801787, 39.801777, 39.801825, 39.801802, 39.804835)))"
08059010303,0,5562,2315,165,808,1248,2221,570,861,"list(list(c(-105.128604, -105.115571, -105.10963, -105.104366, -105.102882, -105.103261, -105.113728, -105.113969, -105.114262, -105.114384, -105.11554, -105.120887, -105.123553, -105.128408, -105.128399, -105.128401, -105.128377, -105.128375, -105.128406, -105.128412, -105.128404, -105.128399, -105.128398, -105.128397, -105.12846, -105.12855, -105.128604, 39.836168, 39.827146, 39.823048, 39.819307, 39.817037, 39.817022, 39.816969, 39.815038, 39.814271, 39.812205, 39.812647, 39.812728, 39.812722, 
39.812756, 39.815177, 39.817881, 39.818881, 39.819635, 39.820295, 39.821975, 39.822194, 39.82232, 39.822394, 39.822477, 39.827117, 39.834172, 39.836168)))"
08059010208,12,5743,2191,256,783,1132,2171,500,767,"list(list(c(-105.081821, -105.073354, -105.071064, -105.072144, -105.0721, -105.072074, -105.072045, -105.067376, -105.063954, -105.06224, -105.059997, -105.053262, -105.053271, -105.053281, -105.055636, -105.05657, -105.062676, -105.067316, -105.067307, -105.072993, -105.081486, -105.081442, -105.081447, -105.081545, -105.081821, 39.841799, 39.841825, 39.837184, 39.834952, 39.830898, 39.830504, 39.827309, 39.827335, 39.827344, 39.82727, 39.82671, 39.827273, 39.823666, 39.821859, 39.82185, 39.821863, 
39.82185, 39.821856, 39.820069, 39.820068, 39.82012, 39.825026, 39.827244, 39.830443, 39.841799)))"
08059010406,100,2892,1235,180,590,379,1149,345,389,"list(list(c(-105.08121, -105.079995, -105.076959, -105.076587, -105.072895, -105.067303, -105.061413, -105.052839, -105.052886, -105.052949, -105.053102, -105.053162, -105.053164, -105.053246, -105.06148, -105.063298, -105.064541, -105.065091, -105.062944, -105.062659, -105.062593, -105.067678, -105.070057, -105.072071, -105.074255, -105.07252, -105.071718, -105.070222, -105.069397, -105.068737, -105.068721, -105.068686, -105.068686, -105.068686, -105.068686, -105.068687, -105.068705, -105.068655, 
-105.081402, -105.08121, 39.791902, 39.793405, 39.797544, 39.799662, 39.800128, 39.800337, 39.800794, 39.802535, 39.800863, 39.800437, 39.799788, 39.799239, 39.799109, 39.791063, 39.791075, 39.790081, 39.79108, 39.78836, 39.788087, 39.783847, 39.783303, 39.783543, 39.784073, 39.784869, 39.785839, 39.786455, 39.786545, 39.786908, 39.786979, 39.786908, 39.787478, 39.788178, 39.788212, 39.788256, 39.78836, 39.78839, 39.789517, 39.791098, 39.791196, 39.791902)))"
08059060500,85,7753,3200,126,664,2151,2941,672,1054,"list(list(c(-105.147121, -105.108609, -105.108178, -105.106951, -105.100641, -105.100102, -105.096681, -105.096692, -105.090626, -105.090624, -105.084285, -105.08423, -105.081055, -105.080424, -105.079629, -105.081061, -105.081095, -105.081157, -105.081182, -105.08236, -105.081967, -105.083822, -105.085126, -105.086495, -105.090329, -105.09299, -105.093254, -105.095897, -105.096175, -105.096294, -105.096027, -105.109479, -105.116801, -105.128943, -105.128678, -105.128918, -105.13145, -105.147396, 
-105.147121, 39.91389, 39.914137, 39.91281, 39.911729, 39.908638, 39.902206, 39.900787, 39.899788, 39.899677, 39.898903, 39.898957, 39.899837, 39.899821, 39.899819, 39.898656, 39.896691, 39.89419, 39.888515, 39.888235, 39.885712, 39.885492, 39.88381, 39.882629, 39.881494, 39.878116, 39.877907, 39.878356, 39.878093, 39.878958, 39.885402, 39.892632, 39.892827, 39.89275, 39.892801, 39.899985, 39.900255, 39.900099, 39.900094, 39.91389)), list(c(-105.241114, -105.240912, -105.238933, -105.231343, -105.212475, 
-105.20345, -105.201254, -105.200796, -105.199494, -105.196647, -105.192439, -105.191895, -105.167072, -105.16615, -105.165349, -105.164097, -105.147143, -105.153313, -105.158458, -105.162846, -105.165689, -105.165554, -105.164423, -105.14744, -105.134852, -105.137138, -105.136457, -105.136308, -105.133105, -105.132179, -105.130885, -105.130209, -105.128895, -105.128597, -105.128661, -105.129563, -105.147418, -105.147625, -105.148259, -105.148434, -105.148854, -105.147593, -105.14761, -105.147649, 
-105.147644, -105.147708, -105.147746, -105.147783, -105.147745, -105.147767, -105.147781, -105.165256, -105.165256, -105.165204, -105.167682, -105.173417, -105.178343, -105.178614, -105.179524, -105.18471, -105.187916, -105.191406, -105.192459, -105.192684, -105.197676, -105.199443, -105.201605, -105.221788, -105.222087, -105.239269, -105.240265, -105.240759, -105.241059, -105.241114, 39.906406, 39.908733, 39.914367, 39.914085, 39.914236, 39.91404, 39.914002, 39.913994, 39.914028, 39.914186, 39.914107, 
39.914097, 39.913893, 39.914047, 39.914133, 39.913891, 39.913889, 39.913039, 39.911596, 39.91131, 39.910503, 39.890898, 39.891408, 39.889297, 39.889292, 39.890831, 39.890946, 39.89202, 39.892012, 39.892487, 39.892697, 39.89058, 39.890353, 39.889902, 39.878322, 39.878191, 39.878259, 39.872427, 39.871506, 39.87128, 39.871031, 39.869683, 39.867491, 39.863898, 39.863078, 39.856414, 39.853071, 39.851727, 39.847776, 39.846058, 39.845893, 39.847187, 39.847371, 39.850624, 39.85081, 39.851267, 39.851674, 
39.851723, 39.851988, 39.854072, 39.856079, 39.858267, 39.858871, 39.858988, 39.861699, 39.86229, 39.86264, 39.864364, 39.864391, 39.865814, 39.865909, 39.867005, 39.868464, 39.906406)))"
08059010304,107,2769,1169,120,447,571,1138,351,326,"list(list(c(-105.114262, -105.113969, -105.113728, -105.103261, -105.102747, -105.102545, -105.100199, -105.10021, -105.100209, -105.104799, -105.104785, -105.106772, -105.107714, -105.109076, -105.111338, -105.114384, -105.114262, 39.814271, 39.815038, 39.816969, 39.817022, 39.815982, 39.812588, 39.811088, 39.804068, 39.802061, 39.801956, 39.802887, 39.805137, 39.806012, 39.807259, 39.809417, 39.812205, 39.814271)))"
