GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,UPA,geometry
08031006811,338,6497,3381,570,1174,1366,3110,1261,1116,12,"list(list(c(-104.903509, -104.898817, -104.893941, -104.890824, -104.890764, -104.890188, -104.887116, -104.885111, -104.884715, -104.884691, -104.884696, -104.884785, -104.898759, -104.900801, -104.902467, -104.903555, -104.904112, -104.902787, -104.904757, -104.903509, 39.667624, 39.667626, 39.667589, 39.664903, 39.664956, 39.664393, 39.661925, 39.660301, 39.659892, 39.657912, 39.657235, 39.653068, 39.653113, 39.65311, 39.656817, 39.657671, 39.659972, 39.664953, 39.667634, 39.667624)))"
08031006810,64,5836,2834,334,1187,1129,2650,1007,885,12,"list(list(c(-104.900801, -104.898759, -104.884785, -104.88014, -104.880313, -104.880313, -104.880368, -104.880329, -104.885112, -104.8851, -104.886811, -104.892917, -104.893837, -104.894011, -104.89445, -104.894185, -104.898103, -104.899796, -104.900801, 39.65311, 39.653113, 39.653068, 39.653057, 39.645902, 39.645889, 39.642193, 39.641491, 39.639262, 39.639871, 39.638541, 39.635678, 39.638249, 39.638678, 39.641835, 39.643304, 39.649007, 39.651087, 39.65311)))"
08031004003,176,4217,2146,296,642,1132,2070,807,834,12,"list(list(c(-104.940686, -104.94068, -104.94068, -104.938145, -104.936789, -104.931622, -104.930436, -104.926275, -104.925662, -104.923765, -104.918448, -104.920458, -104.931703, -104.940683, -104.940686, 39.66346, 39.66756, 39.668329, 39.668072, 39.667548, 39.667473, 39.667471, 39.667471, 39.667486, 39.66461, 39.653079, 39.65309, 39.653044, 39.653013, 39.66346)))"
08031002702,688,6495,4441,653,1783,1906,4342,2859,1266,12,"list(list(c(-104.987404, -104.987403, -104.983581, -104.982256, -104.979832, -104.978681, -104.972979, -104.972935, -104.972939, -104.977558, -104.979938, -104.981138, -104.983623, -104.987415, -104.987404, 39.729094, 39.732043, 39.73204, 39.732034, 39.732021, 39.732026, 39.732049, 39.729078, 39.727283, 39.727261, 39.727268, 39.727264, 39.727283, 39.727275, 39.729094)))"
08031004006,107,4857,2361,403,534,1081,2018,651,656,12,"list(list(c(-104.959393, -104.956583, -104.950828, -104.940924, -104.940748, -104.94068, -104.94068, -104.945362, -104.945822, -104.948509, -104.950194, -104.950744, -104.959379, -104.959385, -104.959393, 39.678425, 39.678472, 39.678424, 39.678378, 39.678414, 39.668329, 39.66756, 39.667564, 39.667565, 39.66694, 39.667253, 39.667531, 39.667594, 39.673028, 39.678425)))"
08031003202,335,3456,2192,376,858,874,2108,1191,797,12,"list(list(c(-104.964619, -104.964491, -104.965006, -104.964773, -104.964766, -104.959781, -104.959784, -104.959795, -104.959839, -104.960192, -104.965881, -104.964619, 39.730484, 39.733456, 39.735404, 39.73682, 39.739999, 39.739988, 39.73681, 39.733453, 39.731079, 39.729108, 39.729093, 39.730484)))"
08031002100,425,6568,3294,489,1025,1602,3116,1303,1132,12,"list(list(c(-105.015768, -105.00966, -105.009184, -105.007488, -105.006616, -105.005976, -105.006336, -105.003672, -105.001609, -105.000169, -105.000148, -104.992157, -104.99089, -104.987435, -104.987497, -104.987525, -104.987575, -104.987623, -104.987488, -104.987431, -104.992384, -104.992492, -104.997805, -105.000143, -105.001754, -105.003369, -105.006676, -105.009216, -105.012057, -105.01573, -105.015768, 39.725502, 39.725784, 39.725655, 39.725617, 39.725517, 39.725603, 39.725782, 39.725767, 39.725758, 
39.726481, 39.725707, 39.725668, 39.725663, 39.725637, 39.718358, 39.714779, 39.711157, 39.707535, 39.70388, 39.696633, 39.69666, 39.699352, 39.705845, 39.711202, 39.714688, 39.7165, 39.718578, 39.721183, 39.722234, 39.724463, 39.725502)))"
08031003004,44,6559,2638,316,849,1245,2410,767,839,12,"list(list(c(-104.974586, -104.973475, -104.973477, -104.973431, -104.965232, -104.959511, -104.959393, -104.959385, -104.959379, -104.959434, -104.959443, -104.963149, -104.963224, -104.967619, -104.968785, -104.968805, -104.973489, -104.973486, -104.974586, 39.667687, 39.669491, 39.674884, 39.678512, 39.678469, 39.678475, 39.678425, 39.673028, 39.667594, 39.663924, 39.661526, 39.66156, 39.66037, 39.660409, 39.660417, 39.665839, 39.665866, 39.667684, 39.667687)))"
08031006809,162,7800,3719,435,1465,1777,3677,1392,1458,12,"list(list(c(-104.91293, -104.909095, -104.900801, -104.899796, -104.898103, -104.894185, -104.89445, -104.894011, -104.893837, -104.892917, -104.901537, -104.901898, -104.905889, -104.907082, -104.910095, -104.911183, -104.918448, -104.91293, 39.653089, 39.6531, 39.65311, 39.651087, 39.649007, 39.643304, 39.641835, 39.638678, 39.638249, 39.635678, 39.634659, 39.635411, 39.633953, 39.634296, 39.638688, 39.640324, 39.653079, 39.653089)))"
08031004301,514,5086,3406,757,1220,1013,2990,1629,952,20,"list(list(c(-104.940608, -104.940602, -104.940615, -104.940593, -104.940593, -104.932087, -104.931534, -104.930379, -104.930381, -104.930412, -104.930459, -104.930452, -104.930521, -104.940615, -104.940608, 39.729226, 39.732076, 39.734689, 39.736683, 39.740128, 39.740133, 39.740135, 39.740134, 39.73649, 39.732865, 39.732563, 39.729238, 39.725615, 39.725598, 39.729226)))"
08031003401,38,2658,1529,88,323,980,1391,581,525,20,"list(list(c(-104.973391, -104.973248, -104.970587, -104.966309, -104.960207, -104.959307, -104.959261, -104.959328, -104.965173, -104.966328, -104.973374, -104.973393, -104.973391, 39.716531, 39.718401, 39.717699, 39.714424, 39.715572, 39.715312, 39.711117, 39.707489, 39.70749, 39.707489, 39.70749, 39.711108, 39.716531)))"
08031002803,297,4999,3545,395,1557,1364,3316,2023,1042,20,"list(list(c(-104.980387, -104.980299, -104.980278, -104.980305, -104.977538, -104.976083, -104.973248, -104.973391, -104.973393, -104.976907, -104.980383, -104.980387, 39.714728, 39.716522, 39.718323, 39.721486, 39.719747, 39.7191, 39.718401, 39.716531, 39.711108, 39.711102, 39.711118, 39.714728)))"
08031004302,81,2662,1312,101,346,785,1232,435,458,20,"list(list(c(-104.930452, -104.930459, -104.930412, -104.930381, -104.930379, -104.922321, -104.922334, -104.92233, -104.922808, -104.922799, -104.930521, -104.930452, 39.729238, 39.732563, 39.732865, 39.73649, 39.740134, 39.740142, 39.736679, 39.733652, 39.729255, 39.725631, 39.725615, 39.729238)))"
08031002802,300,4060,3032,404,1272,965,2641,1831,493,3,"list(list(c(-104.987525, -104.987497, -104.987435, -104.987423, -104.982969, -104.980305, -104.980278, -104.980299, -104.980387, -104.980383, -104.987575, -104.987525, 39.714779, 39.718358, 39.725637, 39.726943, 39.723163, 39.721486, 39.718323, 39.716522, 39.714728, 39.711118, 39.711157, 39.714779)))"
